"name","description","address","zipcode","city","longitude","latitude"
"MOUVEMENT NATIONAL DES INDEPENDANTS DU RHONE","Rassemblement des independants de droite","74 avenue camille rousset","69500","BRON","4.913076","45.736035"
"ASSOCIATION DE DEFENSE DES INTERETS DES LENTILLOIS","Defendre interets individuels ou collectifs des lentillois pour ce","Chez florence martin chemin du cret de","69210","LENTILLY","4.675557","45.804036"
"SOCIETE DE CHASSE LES COTES SAINT GENIS L'ARTENTIERE","Plaisir de la chasse","2 chemin du perrin","69610","SAINTE-FOY-L'ARGENTIERE","4.474177","45.704812"
"LES ANNEES DE LUMIERE THE WORLD LIGHT YEARS","Travailler pour la paix universelle et l'harmonie humanite","Le folliozan","69380","CHASSELAY","4.761936","45.869545"
"OPERATION PLANETE VERTE","Responsabiliser les jeunes et les pousser a reboiser la planete","36 rue jean vuillot","69500","BRON","4.905487","45.731764"
"LYON JEUX","Conception et distribution de jeux de societe","33 chemin du colin","69370","SAINT-DIDIER-AU-MONT-D'OR","4.803628","45.806833"
"CLUB AMICAL RENCONTRES ET LOISIRS","Distraire personnes du 3eme age","7 rue georges picot","69100","VILLEURBANNE","4.897183","45.77523"
"MISSION GALLICANE SAINT BENOIT","Entretien et exercice public du culte de l'eglise gallicane","53 c rue chateau gaillard","69100","VILLEURBANNE","4.888192","45.775074"
"CHANG LEE CLUB VAULX SPORTS COMBAT","Pratiquer sports de combat","Centre social j peyri place du marche cite","69120","VAULX-EN-VELIN","4.93436","45.768788"
"ASSOCIATION DES ETUDIANTS ARMENIENS DE FRANCE AEAF","Favoriser relations entraide et amitie entre les membres","126 avenue roger salengro","69100","VILLEURBANNE","4.879686","45.778607"
"JARDIN SABIA","Aide humanitaire aux enfants depourvus du bresil","Charriere blanche frenes 1","69130","ECULLY","4.777133","45.778649"
"ASSOCIATION DES BRULES DE FRANCE","Faire reconnaitre droits juridiques et sociaux des brules","Chez mme corine gratien","69140","RILLIEUX-LA-PAPE","4.88164","45.819782"
"WALO DIERI","Participer activement et favoriser le developement economique","20 rue du general dayan","69100","VILLEURBANNE","4.860888","45.7732"
"LA FRATERNELLE BOULE","Petanque boules","28 rue gambetta","69740","GENAS","5.01749","45.734509"
"ASSOCIATION ANIMATION LOISIRS CULTURE ET SOLIDARITE (ALCS)","Creation animations socio culturelles rencontres avec et pour","5 rue claude debussy","69200","VENISSIEUX","4.872379","45.699297"
"CLUB DES SUPPORTERS DU RUGBY RILLIEUX","Apporter soutien moral et financier au rugby de rillieux","Cafe des sports 2876 route de strasbourg","69140","RILLIEUX-LA-PAPE","4.89586","45.820377"
"RHONE ALPES COMMUNICATION","Developper dans la region rhone alpes capacite du monde associatif","123 quai clemenceau","69300","CALUIRE-ET-CUIRE","4.848896","45.813617"
"CONVERGENCES","Conseil en formation aupres des entreprises des prestataires de","128 rue du 4 aout","69100","VILLEURBANNE","4.887448","45.764574"
"AU BLEU DES TROPIQUES","Promouvoir et animer les connaissances gastronomiques touristiques","53 rue du midi","69960","CORBAS","4.892902","45.662332"
"GRAND KAMALINGO","Promouvoir musique negro africaine sous toutes ses formes","Chez m joachim sana 60 rue henri legay","69100","VILLEURBANNE","4.915655","45.75504"
"POTENTIEL (FORMATION INGENIERIE DE LA FORMATION (RE) INSERTION)","Formation et ingenierie de la formation","33 rue florian","69100","VILLEURBANNE","4.880973","45.759461"
"CENTRE DE FORMATION JEUNES BOULISTES FLEURIEUX UB 26","Initier les jeunes enfants a la pratique du sport de boules","Place benoit bubost","69210","FLEURIEUX-SUR-L'ARBRESLE","4.651812","45.836175"
"KUNG FU TRUNG HOA","Etude pratique boxe chinoise","32 place de la mairie","69390","VERNAISON","4.803012","45.647527"
"LES AIEULES DE LA ROUTE","Collection voitures anciennes","70, rue Joseph Ronin","69780","SAINT-PIERRE-DE-CHANDIEU","5.0269","45.645876"
"AFRIQUE LOISIRS","Rassembler ressortissants afrique","Chez m boo n° 8 chemin g bachelard","69120","VAULX-EN-VELIN","4.915022","45.778009"
"GROUPE DES APPRENTIS MEDECINS DE GRANGE BLANCHE","Promouvoir et ameliorer relations inter etudiants au sein de","Chez melle a bernard breillat","69300","CALUIRE-ET-CUIRE","4.846739","45.797296"
"OLDICAR","Favoriser conservation vehicules anciens","38 rue paul chevrel","69370","SAINT-DIDIER-AU-MONT-D'OR","4.799518","45.814924"
"AUTO SPORT CONTACT RACING TEAM","Rassembler personnes ayant passion sport automobile","34 bis rue gambetta","69270","FONTAINES-SUR-SAONE","4.844181","45.835667"
"ALINAT","Initiation a dietetique","Le bravarel","69610","HAUTE-RIVOIRE","4.40837","45.703925"
"L'ETOILE FILANTE","Animation travaux manuels deguisements initiation au dessin","Centre social de brignais place du 8 mai 1945","69530","BRIGNAIS","4.754102","45.672046"
"ASSOCIATION DANSE GUILLEMETTE MEYRIEUX","Promotion danse amateur","3 rue francisque darcieux","69230","SAINT-GENIS-LAVAL","4.795919","45.69589"
"CENTRE DE VACANCES ET DE LOISIRS AMITIE","Organisation et gestion activites educatives et culturelles","Le montet","69230","SAINT-GENIS-LAVAL","4.788243","45.685506"
"LES AMIS DES COMPAGNONS","Promouvoir entre ses membres vertus que developpent les compagnons","La combe reynard","69210","SOURCIEUX-LES-MINES","4.620119","45.797224"
"CENTRE DU NOUVEAU PENSER LYONNAIS","Enseigner correlation des lois scientifiques opinions philosophi","30 boulevard de l'europe","69600","OULLINS","4.808211","45.707089"
"ORTHOPHONIE LYON LIVRE DE L'ANNEE (OLLA)","Realiser et diffuser un livre de l'annee","57 le castellard","69370","SAINT-DIDIER-AU-MONT-D'OR","4.792386","45.805063"
"SAUVEGARDE DES COTEAUX DU LYONNAISCOMITE DE MESSIMY (S.C.L. MESSIMY)","Sauvegarde environnement dans les coteaux du lyonnais","60 route de quinsonnas","69510","MESSIMY","4.667387","45.691585"
"FOYER DE L'IUT INFORMATIQUE","Gerer le foyer des eleves de l'iut informatique","43 boulevard du 11 novembre 1918","69100","VILLEURBANNE","4.872319","45.779216"
"ASSOCIATION DES RAIDERS DE SAINT FONS","Participation a des courses sur routes ou raids pedestres","Mairie de saint fons","69190","SAINT-FONS","4.851168","45.705214"
"SECTION LOCALE DE L'ASSOCIATION PROFESSIONNELLE DES MEDECINS DE GARDED'URGENCE DU RHONE DE DECINES CHASSIEU MEYZIEU PUSIGNAN JONSET D'URGENCE DU RHONE DE DECINES CHASSIEU MEYZIEU PUSIGNAN JONAGE(AMEGA)JONS (AMEGA)","Reponse aux urgences medicales et permanence de soins","Mairie 2 rue marcellin berthelot","69150","DECINES-CHARPIEU","4.956743","45.767243"
"ECRITURES ET PSYCHANALYSE","Promouvoir mouvement de la psychanalyse par tous moyens de","5 place xavier ricard","69110","SAINTE-FOY-LES-LYON","4.8045","45.736503"
"COMITE DE DEFENSE DES RESIDENTS DE LA ROCHETTE","Organisation defense des interets des residents","8 bis rue capitaine ferber","69300","CALUIRE-ET-CUIRE","4.827527","45.790573"
"HISTOIRE ET ANTHROPOLOGIE REGIONALE DES ARTS DU SPECTACLE(HARESE)","Favoriser et developper par tous moyens recherche et creation","Route de flassieu","69630","CHAPONOST","4.753911","45.700071"
"SOCIETE EN IMAGERIE ANIMALE ET DES PRODUITS ANIMAUX","Etude et développement des sciences et techniques se rapportant à la qualité des produits animaux et à l'appréciation de la qualité de ces produits par une technique d'imagerie","30 chemin des mouilles","69290","GREZIEU-LA-VARENNE","4.705734","45.742493"
